year,source_file,gsl,states,entities,sumlevel,program_label,program,sub_program,name,code,total_units,pct_occupied,number_reported,pct_reported,months_since_report,pct_movein,people_per_unit,people_total,rent_per_month,spending_per_month,hh_income,person_income,pct_lt5k,pct_5k_lt10k,pct_10k_lt15k,pct_15k_lt20k,pct_ge20k,pct_wage_major,pct_welfare_major,pct_other_major,pct_median,pct_lt50_median,pct_lt30_median,pct_2adults,pct_1adult,pct_female_head,pct_female_head_child,pct_disabled_lt62,pct_disabled_ge62,pct_disabled_all,pct_lt24_head,pct_age25_50,pct_age51_61,pct_age62plus,pct_age85plus,pct_minority,pct_black_nonhsp,pct_native_american_nonhsp,pct_asian_pacific_nonhsp,pct_white_nothsp,pct_black_hsp,pct_wht_hsp,pct_oth_hsp,pct_hispanic,pct_multi,months_waiting,months_from_movein,pct_utility_allow,ave_util_allow,pct_bed1,pct_bed2,pct_bed3,pct_overhoused,tpoverty,tminority,tpct_ownsfd,fedhse,cbsa,place,latitude,longitude,state,pha_total_units,ha_size,Quarter,occupied_units
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003002500,7,Public Housing,2,NA,DE Delaware New Castle County 002500,10003002500,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,37980,77580,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003002600,7,Public Housing,2,NA,DE Delaware New Castle County 002600,10003002600,17,69,11,97,4,18,3.1,34,518,583,23825,7708,,,,30,70,82,,9,31,91,45,,64,100,64,,50,12,,64,18,18,,100,91,,,,,9,,9,0,4,148,100,192,9,27,64,18,37,81,13,NA,37980,77580,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,12
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003002800,7,Public Housing,2,NA,DE Delaware New Castle County 002800,10003002800,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,37980,77580,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003002900,7,Public Housing,2,NA,DE Delaware New Castle County 002900,10003002900,336,99,334,100,5,15,1.2,407,282,583,12270,10069,9,46,25,9,12,21,5,72,20,96,87,,8,56,7,64,77,59,2,25,40,32,1,97,91,1,,3,0,4,1,5,0,27,108,1,214,88,8,4,2,58,96,4,NA,37980,77580,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,333
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003003002,7,Public Housing,2,NA,DE Delaware New Castle County 003002,10003003002,294,97,283,99,5,14,3,837,298,583,12916,4367,12,23,24,16,25,53,6,24,18,96,84,4,75,88,74,12,82,9,9,74,11,6,0,94,89,0,,6,,4,1,5,0,22,104,98,163,11,42,47,9,46,83,4,NA,37980,77580,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,285
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003010502,7,Public Housing,2,NA,DE Delaware New Castle County 010502,10003010502,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,37980,99999,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003013610,7,Public Housing,2,NA,DE Delaware New Castle County 013610,10003013610,42,98,41,100,3,5,3.3,136,342,430,14796,4460,18,8,18,28,28,59,5,32,20,100,76,2,80,93,78,10,50,5,12,78,5,5,,95,85,2,,5,2,5,,7,0,23,24,100,101,15,27,59,5,6,16,71,NA,37980,99999,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,41
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003014300,7,Public Housing,2,NA,DE Delaware New Castle County 014300,10003014300,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,37980,50670,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003014403,7,Public Housing,2,NA,DE Delaware New Castle County 014403,10003014403,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,37980,50670,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003014501,7,Public Housing,2,NA,DE Delaware New Castle County 014501,10003014501,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,37980,50670,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003014502,7,Public Housing,2,NA,DE Delaware New Castle County 014502,10003014502,45,100,45,100,6,13,1.3,60,358,430,15493,11620,4,24,27,22,22,13,,87,26,93,69,,11,73,11,44,58,42,2,16,2,80,7,58,51,,,42,2,2,2,7,0,18,110,100,83,80,16,4,2,62,15,29,NA,37980,50670,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,45
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003016601,7,Public Housing,2,NA,DE Delaware New Castle County 016601,10003016601,24,100,24,100,5,8,1.1,26,373,889,17496,16151,,21,25,25,29,8,,92,30,88,58,,,71,,11,20,12,79,,,21,,29,29,,,71,,,,0,0,,80,100,128,100,,,,3,27,73,NA,37980,47030,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,24
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003999999,7,Public Housing,2,NA,DE Delaware New Castle County 999999,10003999999,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,37980,XXXXX,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 005 Sussex County 10005050104,7,Public Housing,2,NA,DE Delaware Sussex County 050104,10005050104,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,41540,47420,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 005 Sussex County 10005050301,7,Public Housing,2,NA,DE Delaware Sussex County 050301,10005050301,50,94,46,98,6,20,2.5,117,350,889,18135,7130,9,23,14,7,48,54,2,39,32,78,52,7,67,87,70,38,67,20,4,67,15,13,,78,76,,2,20,,,,0,0,,55,100,129,,83,17,7,22,29,72,NA,41540,08680,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,47
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 005 Sussex County 10005051003,7,Public Housing,2,NA,DE Delaware Sussex County 051003,10005051003,51,100,51,100,7,16,3.3,169,343,889,14810,4469,12,12,34,24,18,47,12,39,25,94,75,4,76,90,75,40,67,15,4,76,14,6,,55,53,,,41,,2,,2,0,,57,100,235,,27,73,16,7,18,50,NA,41540,99999,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,51
2017,TRACT_AK_MN_2017.xlsx,Census Tract,DE Delaware,DE Delaware 005 Sussex County 10005999999,7,Public Housing,2,NA,DE Delaware Sussex County 999999,10005999999,54,98,53,100,5,11,3.2,169,430,889,20467,6419,4,17,19,15,45,64,,36,34,85,47,15,62,85,72,23,100,10,9,72,17,2,,70,70,,,30,,,,0,0,,55,100,188,,47,53,8,9,8,68,NA,41540,XXXXX,NA,NA,DE,NA,NA,2017-12-31 00:00:00 UTC,53
2018,TRACT_AK_MN_2018.xlsx,Census Tract,DE Delaware,DE Delaware 001 Kent County 10001040201,7,Public Housing,2,NA,DE Delaware Kent County 040201,10001040201,32,100,32,100,5,9,1.1,34,268,837,11593,10911,9,34,34,19,3,3,3,94,23,97,78,,,53,,81,67,74,19,16,47,19,,63,59,,,38,,,3,3,0,,80,100,161,100,,,,14,30,51,NA,20100,15440,NA,NA,DE,NA,NA,2018-12-31 00:00:00 UTC,32
2018,TRACT_AK_MN_2018.xlsx,Census Tract,DE Delaware,DE Delaware 001 Kent County 10001040203,7,Public Housing,2,NA,DE Delaware Kent County 040203,10001040203,51,94,48,100,4,17,2.7,129,378,837,20117,7486,4,25,25,15,31,42,6,52,33,77,65,6,52,81,52,51,100,25,8,60,27,4,,79,73,,,21,,2,4,6,2,,61,100,185,25,35,40,2,11,40,54,NA,20100,99999,NA,NA,DE,NA,NA,2018-12-31 00:00:00 UTC,48
2018,TRACT_AK_MN_2018.xlsx,Census Tract,DE Delaware,DE Delaware 001 Kent County 10001040501,7,Public Housing,2,NA,DE Delaware Kent County 040501,10001040501,31,98,30,100,7,10,3,89,463,492,20820,7018,7,14,24,10,45,57,3,37,33,77,50,3,80,90,80,21,,12,3,80,10,7,,90,83,,,10,3,3,,7,0,7,82,100,135,,37,63,17,14,56,63,NA,20100,21200,NA,NA,DE,NA,NA,2018-12-31 00:00:00 UTC,30
2018,TRACT_AK_MN_2018.xlsx,Census Tract,DE Delaware,DE Delaware 001 Kent County 10001041000,7,Public Housing,2,NA,DE Delaware Kent County 041000,10001041000,83,98,82,100,7,15,3.1,253,286,492,12891,4178,22,25,17,16,21,40,11,43,21,94,77,2,74,88,71,22,100,11,4,71,20,6,,90,88,,,10,2,,,2,0,31,68,10,147,10,37,54,12,17,55,41,NA,20100,21200,NA,NA,DE,NA,NA,2018-12-31 00:00:00 UTC,81
2018,TRACT_AK_MN_2018.xlsx,Census Tract,DE Delaware,DE Delaware 001 Kent County 10001041300,7,Public Housing,2,NA,DE Delaware Kent County 041300,10001041300,57,97,55,100,7,11,2.8,154,236,492,10107,3610,21,30,19,19,11,25,5,55,17,96,87,2,75,95,73,28,100,14,2,75,15,9,2,91,85,,,9,5,,,5,0,3,92,,,,38,62,18,33,56,52,NA,20100,21200,NA,NA,DE,NA,NA,2018-12-31 00:00:00 UTC,55
2018,TRACT_AK_MN_2018.xlsx,Census Tract,DE Delaware,DE Delaware 001 Kent County 10001041400,7,Public Housing,2,NA,DE Delaware Kent County 041400,10001041400,110,97,107,100,8,10,2.4,257,293,492,12687,5282,15,30,21,16,18,25,9,59,22,93,76,2,44,79,45,34,93,21,3,50,21,25,,89,83,,,11,2,4,,6,1,22,108,54,67,44,12,44,9,22,64,40,NA,20100,21200,NA,NA,DE,NA,NA,2018-12-31 00:00:00 UTC,107
2018,TRACT_AK_MN_2018.xlsx,Census Tract,DE Delaware,DE Delaware 001 Kent County 10001041500,7,Public Housing,2,NA,DE Delaware Kent County 041500,10001041500,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,20100,21200,NA,NA,DE,NA,NA,2018-12-31 00:00:00 UTC,
2018,TRACT_AK_MN_2018.xlsx,Census Tract,DE Delaware,DE Delaware 001 Kent County 10001041600,7,Public Housing,2,NA,DE Delaware Kent County 041600,10001041600,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,20100,38710,NA,NA,DE,NA,NA,2018-12-31 00:00:00 UTC,
2018,TRACT_AK_MN_2018.xlsx,Census Tract,DE Delaware,DE Delaware 001 Kent County 10001041701,7,Public Housing,2,NA,DE Delaware Kent County 041701,10001041701,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,20100,81350,NA,NA,DE,NA,NA,2018-12-31 00:00:00 UTC,
2018,TRACT_AK_MN_2018.xlsx,Census Tract,DE Delaware,DE Delaware 001 Kent County 10001042201,7,Public Housing,2,NA,DE Delaware Kent County 042201,10001042201,54,94,51,100,7,18,3.6,184,407,837,21525,5966,2,23,19,21,35,49,2,43,33,84,63,14,57,86,67,34,71,13,8,55,24,14,,86,76,,,14,4,4,2,10,0,,64,100,173,12,12,76,22,11,37,68,NA,20100,61265,NA,NA,DE,NA,NA,2018-12-31 00:00:00 UTC,51
2018,TRACT_AK_MN_2018.xlsx,Census Tract,DE Delaware,DE Delaware 001 Kent County 10001042202,7,Public Housing,2,NA,DE Delaware Kent County 042202,10001042202,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,20100,44430,NA,NA,DE,NA,NA,2018-12-31 00:00:00 UTC,
2018,TRACT_AK_MN_2018.xlsx,Census Tract,DE Delaware,DE Delaware 001 Kent County 10001042500,7,Public Housing,2,NA,DE Delaware Kent County 042500,10001042500,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,20100,47420,NA,NA,DE,NA,NA,2018-12-31 00:00:00 UTC,
2018,TRACT_AK_MN_2018.xlsx,Census Tract,DE Delaware,DE Delaware 001 Kent County 10001043000,7,Public Housing,2,NA,DE Delaware Kent County 043000,10001043000,73,95,69,100,4,17,3.1,217,390,837,20014,6364,6,21,19,16,37,59,7,30,31,84,61,9,65,86,65,43,100,16,6,68,20,6,,90,88,,,10,,1,,1,0,,58,100,189,6,36,58,13,18,27,67,NA,20100,33120,NA,NA,DE,NA,NA,2018-12-31 00:00:00 UTC,69
2018,TRACT_AK_MN_2018.xlsx,Census Tract,DE Delaware,DE Delaware 001 Kent County 10001043300,7,Public Housing,2,NA,DE Delaware Kent County 043300,10001043300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,20100,21200,NA,NA,DE,NA,NA,2018-12-31 00:00:00 UTC,
2018,TRACT_AK_MN_2018.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003000200,7,Public Housing,2,NA,DE Delaware New Castle County 000200,10003000200,31,92,28,100,5,4,3.5,98,408,736,19187,5482,12,8,24,16,40,57,4,29,24,86,71,11,71,93,75,9,80,11,4,68,11,18,4,93,75,,,7,,18,,18,0,8,122,36,197,,7,93,14,18,84,24,NA,37980,77580,NA,NA,DE,NA,NA,2018-12-31 00:00:00 UTC,29
2018,TRACT_AK_MN_2018.xlsx,Census Tract,DE Delaware,DE Delaware 003 New Castle County 10003000300,7,Public Housing,2,NA,DE Delaware New Castle County 000300,10003000300,37,86,32,100,5,9,3.5,111,515,736,26037,7506,3,17,17,3,59,53,,38,32,78,56,13,53,91,59,22,20,9,3,59,22,16,3,97,78,,,3,,16,3,19,0,10,185,84,200,,6,94,31,16,85,14,NA,37980,77580,NA,NA,DE,NA,NA,2018-12-31 00:00:00 UTC,32
